SigMax/CI,r/a,Region
1.28100854,1.215384615,EDZi
1.227113362,1.215384615,EDZi
1.146455088,1.123076923,EDZi
1.214996529,1.123076923,EDZi
1.121156036,1.246153846,EDZi
1.160050085,1.123076923,EDZi
1.113861386,1.123076923,EDZi
1.089764288,1.153846154,EDZi
1.531445685,1.215384615,EDZi
1.759095174,1.338461538,EDZi
1.655060808,1.215384615,EDZi
1.558603491,1.307692308,EDZi
1.299776631,1.123076923,EDZi
1.520407244,1.276923077,EDZi
1.428390046,1.246153846,EDZi
1.163151365,1.123076923,EDZi
1.470203868,1.276923077,EDZi
1.342161775,1.169230769,EDZi
1.692747517,1.338461538,EDZi
1.346123165,1.246153846,EDZi
1.360887097,1.276923077,EDZi
1.418067227,1.246153846,EDZi
1.442307692,1.276923077,EDZi
1.607142857,1.276923077,EDZi
1.442307692,1.246153846,EDZi
1.339285714,1.215384615,EDZi
1.5625,1.338461538,EDZi
1.308139535,1.276923077,EDZi
1.40625,1.246153846,EDZi
1.35,1.246153846,EDZi
1.301982872,1.123076923,EDZi
1.154477663,1.076923077,EDZi
1.37250915,1.246153846,EDZi
1.314764316,1.215384615,EDZi
1.228344737,1.092307692,EDZi
1.301781995,1.246153846,EDZi
1.20123861,1.092307692,EDZi
1.242910805,1.123076923,EDZi
1.193422914,1.030769231,EDZi
4.464285714,1.584615385,EDZi
1.358695652,1.215384615,EDZi
1.806745182,1.246153846,EDZi
1.721938776,1.215384615,EDZi
1.180895731,1.092307692,EDZi
1.57857811,1.276923077,EDZi
1.374185668,1.246153846,EDZi
1.480263158,1.276923077,EDZi
2.454545455,1.461538462,EDZi
1.144843962,1.092307692,EDZi
2.289687924,1.4,EDZi
1.818706697,1.369230769,EDZi
4.166666667,1.707692308,EDZi
1.268115942,1.153846154,EDZi
1.686295503,1.369230769,EDZi
1.607142857,1.369230769,EDZi
1.102169349,1.123076923,EDZi
1.47333957,1.215384615,EDZi
1.28257329,1.215384615,EDZi
1.381578947,1.276923077,EDZi
2.290909091,1.492307692,EDZi
1.068521031,1.153846154,EDZi
2.137042062,1.461538462,EDZi
1.473884942,1.338461538,EDZi
